    257 Collision
    239 Fire
    221 HullFail
    132 Fire
    124 Grounding
    123 Collision
    101 HullFail
     95 Collision
     91 Grounding 
     82 Fire
     76 Fire
     68 Collision
     62 Grounding
     58 Grounding
     57 Fire
     42 Collision
     50 Fire
     48 Fire
     46 HullFail 
     46 HullFail
     45 Grounding
     44 Fire
     41 Collision
     41 Grounding 
     41 Collision
     38 Grounding
     37 Grounding
     36 Grounding
     36 Collision
     36 HullFail
     33 Fire
     32 Collision
     32 Fire
     32 Fire
     32 HullFail
     31 HullFail
     28 Grounding
     31 Collision
     25 Unknown 
     31 HullFail 
     29 HullFail
     31 Grounding 
     31 Grounding 
     30 HullFail 
     27 Unknown
     26 HullFail
     26 Fire
     26 Grounding
     24 HullFail
     21 Grounding
