        1      4581
        2      4239
        3      2754
        4      4501
        5      4016
        6      4680
        7      4950
        8      3303
        9      2367
       10      3055
       11      4248
       12      5067
       13      5201
       14      5133
       15      4211
       16      3195
       17      5760
       18      5661
       19      6102
       20      6099
       21      5902
       22      2295
       23      2682
       24      5787
       25      3339
       26      3798
       27      2007
       28      6282
       29      3267
       30      4779
       31      9000
       32      9531
       33      3915
       34      8964
       35      6984
       36      6660
       37      6921
       38     10005
       39     10153
       40     11520
