    2001       1    9876
    2001       2    9906
    2001       3    9871
    2001       4    9910
    2002       1    9977
    2002       2   10032
    2002       3   10091
    2002       4   10096
    2003       1   10139
    2003       2   10230
    2003       3   10411
    2003       4   10503
    2004       1   10612
    2004       2   10704
    2004       3   10809
    2004       4   10897
    2005       1   10999
    2005       2   11089
    2005       3   11202
    2005       4   11248
