        1        16
        2        14
        3         9
        4        11
        5        15
        6         8
        7        12
        8        16
        9        17
       10        13
       11        15
       12        10
       13         9
       14        12
       15        14
       16        11
       17         8
       18         7
       19        12
       20        15
       21         9
       22        16
       23        13
       24        11
       25        10
