        1         2
        2         4
        3        10
        4         4
        5         1
        6         1
        7        13
        8         9
        9        11
       10         0
       11         3
       12         4
       13         2
       14         2
       15         8
       16         2
       17         3
       18         7
       19         3
       20         2
       21         3
       22         7
       23         4
       24         3
       25         2
       26         2
       27         0
       28         1
       29         3
       30         4
