None          3.9
Prepack       1.5
Prepack         1
None         10.1
None          4.1
Prepack       1.9
Joint         1.4
Prepack       1.3
Joint         1.2
Prepack       4.1
Prepack       1.1
None            3
None          3.2
Prepack         1
Prepack       3.8
Joint         1.2
Prepack         1
Prepack       1.5
Prepack         1
Prepack       1.4
Prepack       1.2
None          4.2
Prepack         3
Joint         1.5
Prepack       1.6
Joint         1.4
Prepack       1.4
Prepack       1.1
None          2.9
Joint         5.2
Prepack       1.2
None          2.4
Joint         4.5
None          7.8
Prepack       1.5
Joint         2.1
Prepack       2.1
Joint         3.9
None          2.6
Joint         1.4
Prepack       1.4
Joint         5.4
None          2.4
Prepack       1.7
Prepack       1.4
Prepack       2.7
Prepack       1.2
Prepack       4.1
Prepack       2.9
