       4       1       1       5       6      36      14 FEMALE  NOSPILL 
       5       5       5       7       4      51      13 FEMALE  NOSPILL 
       5       6       1       5       4      31      14 FEMALE  NOSPILL 
       5       1       3       4       5      43      15 FEMALE  NOSPILL 
       4       6       5       4       4      45      15 FEMALE  NOSPILL 
       5       2       7       6       6      42      12 FEMALE  NOSPILL 
       4       5       7       4       4      49      15 FEMALE  NOSPILL 
       4       5       6       4       3      46      14 FEMALE  NOSPILL 
       5       7       2       6       6      32      12 MALE    NOSPILL 
       5       7       3       5       4      51      13 MALE    NOSPILL 
       4       7       1       7       3      42      12 MALE    NOSPILL 
       5       2       1       3       3      55      12 MALE    NOSPILL 
       4       7       1       5       4      45      12 MALE    NOSPILL 
       5       5       4       5       5      47      12 MALE    NOSPILL 
       4       1       5       4       3      38      12 MALE    NOSPILL 
       5       1       1       4       4      46      13 MALE    NOSPILL 
       5       1       2       4       3      45      13 MALE    NOSPILL 
       5       2       3       4       4      49      14 MALE    NOSPILL 
       5       4       1       5       5      46      13 MALE    NOSPILL 
       5       7       3       5       5      43      15 MALE    NOSPILL 
       5       6       1       4       3      41      13 MALE    NOSPILL 
       5       7       2       7       4      40      13 MALE    NOSPILL 
       4       6       7       5       3      45      18 MALE    NOSPILL 
       5       7       7       4       5      47      15 MALE    NOSPILL 
       5       1       2       5       4      49      15 MALE    NOSPILL 
       4       7       1       3       2      56      15 MALE    NOSPILL 
       4       7       5       3       4      44      12 MALE    NOSPILL 
       4       6       1       2       5      58      14 MALE    NOSPILL 
       4       4       6       5       5      49      14 MALE    NOSPILL 
       5       7       1       5       4      21      12 MALE    NOSPILL 
       4       7       2       5       4      25      12 MALE    NOSPILL 
       4       6       2       7       3      37      12 MALE    NOSPILL 
       4       7       2       3       6      47      12 MALE    NOSPILL 
       5       6       2       5       3      39      12 MALE    NOSPILL 
       5       4       1       5       4      48      13 MALE    NOSPILL 
       4       5       5       6       3      37      12 MALE    NOSPILL 
       4       3       1       5       6      58      14 MALE    NOSPILL 
       4       6       1       3       4      63      12 MALE    NOSPILL 
       4       1       5       5       5      49      12 MALE    NOSPILL 
       5       7       3       5       5      57      14 MALE    NOSPILL 
       4       7       5       6       3      46      14 MALE    NOSPILL 
       5       5       1       5       3      49      14 MALE    NOSPILL 
       4       7       2       6       5      43      13 MALE    NOSPILL 
       5       3       1       5       4      40      13 MALE    NOSPILL 
       4       7       1       4       7      58      12 MALE    NOSPILL 
       4       5       1       6       3      35      13 MALE    NOSPILL 
       4       1       5       5       4      50      12 MALE    NOSPILL 
       4       5       1       6       3      38      12 MALE    NOSPILL 
       4       1       1       6       6      41      14 MALE    NOSPILL 
       4       1       1       5       6      40      15 MALE    NOSPILL 
       5       7       3       4       4      58      12 MALE    NOSPILL 
       4       4       1       5       3      50      15 MALE    NOSPILL 
       5       3       3       5       1      45      16 MALE    NOSPILL 
       5       4       1       5       6      44      15 MALE    NOSPILL 
       4       7       4       6       4      34      12 MALE    NOSPILL 
       4       1       2       7       6      53      14 MALE    NOSPILL 
       5       4       3       4       5      44      12 MALE    NOSPILL 
       3       6       7       5       3      38      13 MALE    NOSPILL 
       5       4       1       3       4      45      12 MALE    NOSPILL 
       5       7       3       5       4      54      13 MALE    NOSPILL 
       4       5       3       5       5      57      13 MALE    NOSPILL 
       5       2       5       4       4      43      12 MALE    NOSPILL 
       4       4       2       3       4      41      12 MALE    NOSPILL 
       4       4       1       6       6      53      12 MALE    NOSPILL 
       4       7       5       4       5      56      15 MALE    NOSPILL 
       5       2       1       5       5      44      12 MALE    NOSPILL 
       4       7       1       5       4      47      13 MALE    NOSPILL 
       5       6       7       7       4      50      13 FEMALE  SPILLOV 
       5       3       1       6       2      54      12 FEMALE  SPILLOV 
       6       2       5       7       7      49      13 FEMALE  SPILLOV 
       5       2       3       5       4      53      13 FEMALE  SPILLOV 
       5       5       3       7       7      30      15 FEMALE  SPILLOV 
       6       7       5       4       3      52      12 FEMALE  SPILLOV 
       5       3       4       5       6      47      13 FEMALE  SPILLOV 
       5       7       4       6       7      47      14 FEMALE  SPILLOV 
       5       5       7       6       7      41      13 MALE    SPILLOV 
       5       7       6       5       4      50      14 MALE    SPILLOV 
       5       7       3       7       7      48      13 MALE    SPILLOV 
       5       4       2       5       5      49      14 MALE    SPILLOV 
       5       4       5       7       7      45      14 MALE    SPILLOV 
       5       5       7       6       7      43      14 MALE    SPILLOV 
       5       5       4       7       5      48      13 MALE    SPILLOV 
       5       2       5       7       6      40      14 MALE    SPILLOV 
       5       5       7       6       7      37      16 MALE    SPILLOV 
       5       7       4       6       5      51      12 MALE    SPILLOV 
       6       4       2       6       5      45      12 MALE    SPILLOV 
       6       7       7       7       1      51      12 MALE    SPILLOV 
       6       7       4       4       7      44      15 MALE    SPILLOV 
       6       6       1       5       2      51      15 MALE    SPILLOV 
       5       7       3       6       7      40      13 MALE    SPILLOV 
       5       6       1       6       7      51      12 MALE    SPILLOV 
       6       7       3       6       7      51      12 MALE    SPILLOV 
       6       5       4       6       3      35      12 MALE    SPILLOV 
       5       7       4       7       5      46      13 MALE    SPILLOV 
       5       6       6       5       6      53      13 MALE    SPILLOV 
       5       4       2       7       2      53      14 MALE    SPILLOV 
       5       6       1       3       1      52      13 MALE    SPILLOV 
       5       2       1       6       7      51      12 MALE    SPILLOV 
       5       1       1       5       5      47      12 MALE    SPILLOV 
       5       4       2       6       3      44      12 MALE    SPILLOV 
       5       4       1       5       4      47      12 MALE    SPILLOV 
       5       5       1       7       7      38      13 MALE    SPILLOV 
       5       7       1       7       1      40      12 MALE    SPILLOV 
       6       4       4       7       7      52      13 MALE    SPILLOV 
       6       5       1       7       3      50      13 MALE    SPILLOV 
