       .85                78 
      1.45                80 
      1.80                74 
      1.80                78 
      1.60                60 
      1.20                62 
      1.30                57  
       .20                49  
       .22                34  
       .40                36  
       .50                32
       .38                28
       .30                25
       .70                45
       .80                40
       .90                45
      1.22                41
      1.00                34
      1.00                25
