       1 1.08655 1.09103
       2 1.00270 1.00272
       3 1.01393 1.01274
       4 1.09467 1.09634
       5 1.10263 1.10518
       6 1.08600 1.08590
       7 1.09065 1.09391
       8 1.00269 1.00210
       9 1.05357 1.05399
      10 1.00884 1.00788
      11  .99471  .99448
      12 1.09247 1.09404
      13 1.01479 1.01438
      14 1.09058 1.09395
      15 1.00394 1.00394
      16 1.08890 1.08997
      17 1.03612 1.03579
      18  .99361  .99298
      19 1.01880 1.01997
      20 1.09162 1.09176
      21 1.09050 1.09252
      22 1.00876 1.00842
      23 1.04461 1.04381
      24 1.09270 1.09367
      25 1.02764 1.02736
      26 1.00955 1.01026
      27 1.03161 1.03269
      28 1.00042 1.00114
      29  .99385  .99417
      30 1.08267 1.08335
      31 1.01780 1.01791
      32  .99355  .99488
      33 1.00964 1.01037
      34  .99381  .99394
      35 1.06747 1.06623
      36 1.08084 1.08097
      37 1.09452 1.09431
      38  .99479  .99498
      39 1.00968 1.01063
      40 1.00684 1.00526
