      155 ARRIVE
      115 ARRIVE
      156 ARRIVE
      150 ARRIVE
      159 ARRIVE
      163 ARRIVE
      172 ARRIVE
      143 ARRIVE
      159 ARRIVE
      166 ARRIVE
      148 ARRIVE
      175 ARRIVE
      151 ARRIVE
      161 ARRIVE
      138 ARRIVE
      148 ARRIVE
      129 ARRIVE
      135 ARRIVE
      140 ARRIVE
      152 ARRIVE
      139 ARRIVE
      156 DEPART
      109 DEPART
      127 DEPART
      148 DEPART
      135 DEPART
      119 DEPART
      140 DEPART
      127 DEPART
      115 DEPART
      122 DEPART
       99 DEPART
      106 DEPART
      171 DEPART
      123 DEPART
      135 DEPART
      125 DEPART
      107 DEPART
      152 DEPART
      111 DEPART
      137 DEPART
      161 DEPART
