  3137         120000            375           1    1
  3590          65000            750           1    1
  4526         150000            500           1    1
 10825        1073877           2170           0    1
  4023         150000            325           1    1
  7606         610000           1500           0    1
  3748          88200            399           1    1
  2972          88200            399           1    1
  3163          88200            399           1    1
  4065          90000           1140           1    1
  2048          30000            325           1    1
  6500         441000            410           1    1
  5651         441000            410           1    1
  6565         441000            410           1    1
  6387         441000            410           1    1
  6454         627000           1525           0    1
  6928         610000           1500           0    1
  4268         150000            500           1    1
 14791        1089490           2170           0    1
  2680         125000            750           1    1
  2974         120000            375           1    0  
  1965          65000            750           1    0
  2566         150000            500           1    0
  1515         150000            250           1    0  
  2000         150000            500           1    0
  2735         150000            325           1    0
  3698         610000           1500           0    0
  2635          90000           1140           1    0
  1206          30000            325           1    0
  3775         441000            410           1    0
  3120         441000            410           1    0
  4206         441000            410           1    0
  4006         441000            410           1    0
  3728         627000           1525           0    0
  3211         610000           1500           0    0
  1200          30000            325           1    0
