        1       100       5.1        90        20
        2        85       3.8        99        22
        3       108       5.3        58        19
        4       116       7.5        16        15
        5        92       4.5        54        20
        6        63       3.3        42        26
        7        79       5.3        12        25
        8       101       5.9        32        21
        9        88         4        56        24
       10        71       4.2        64        29
       11       122       6.8        78        10
       12        85       3.9        90        30
       13        50       3.8        74        28
       14       114       7.5        89        14
       15       104       4.5        90        21
       16       111         6        40        20
       17       110       8.1        55        16
       18       100       2.9        64        19
       19        82         4        35        23
       20        85       4.8        58        25
