        1       3.2       6.7       1.3       8.4       2.2
        2         5       4.1       7.9       8.1       0.4
        3       7.1       3.2       2.1       6.5       3.7
        4       4.2       1.6       2.7       7.2       1.4
        5       1.7       7.1       1.6       0.9       1.8
        6       4.7       5.5       1.6       3.9         4
        7       6.2         2       1.2       0.9       1.4
        8       1.4       2.7       3.8       4.6       3.8
        9       1.1       4.3       9.1       3.1       2.7
       10       5.3       4.1       9.8       2.9       2.7
       11       3.2       2.9       4.1       5.6       0.8
       12       2.4       4.3       6.7       1.9       4.8
       13       8.8       5.3       6.6         1       4.5
       14       3.7       3.6         2       2.7       5.9
       15         1       1.9       6.5       3.3       4.7
       16         7         4       4.9       4.4       4.7
       17       5.5       7.1       2.1       0.9       2.8
       18       1.8       5.6       2.2       1.7       2.1
       19       2.6       3.7       4.8       1.4       5.8
       20       3.6       0.8       5.1       4.7       6.3
