    1970       1   2.545
    1971       2   2.469
    1972       3   2.392
    1973       4   2.193
    1974       5   1.901
    1975       6   1.718
    1976       7   1.645
    1977       8   1.546
    1978       9   1.433
    1979      10   1.289
    1980      11   1.136
    1981      12   1.041
    1982      13   1.000
    1983      14    .984
    1984      15    .964
    1985      16    .955
    1986      17    .969
    1987      18    .949
    1988      19    .926
    1989      20    .880
    1990      21    .839
    1991      22    .822
    1992      23    .812
    1993      24    .802
    1994      25    .797
    1995      26    .782
    1996      27    .762
    1997      28    .759
    1998      29    .765
    1999      30    .752
    2000      31    .725
    2001      32    .711
    2002      33    .720
    2003      34    .698
    2004      35    .673
