    2001       1     274
    2001       2     374
    2001       3     341
    2001       4     285
    2002       1     293
    2002       2     386
    2002       3     361
    2002       4     319
    2003       1     304
    2003       2     406
    2003       3     412
    2003       4     377
    2004       1     345
    2004       2     456
    2004       3     440
    2004       4     370
    2005       1     369
    2005       2     485
    2005       3     471
    2005       4     392
