burn       prod                    3
burn       main                    6
back       proc                    2
back       sales                   1
back       r&d                     1
back       main                    5
back       adm                     2
eye        prod                    1
eye        main                    2
eye        adm                     1
deaf       prod                    1
cuts       prod                    4
cuts       sales                   1
cuts       r&d                     1
cuts       main                   10
arm        prod                    2
arm        main                    2
leg        sales                   1
leg        main                    1
finger     adm                     1
concus     main                    3
concus     adm                     1
hearloss   main                    2
