0229  90300  4 82  4365  0  4266 F
0094 384000 20 13 17798  0 14391 G
0043 157500  5 66  5913  0  6615 G
0079 676200 26 64  7750  6 34144 E
0134 165000  5 55  5150  0  6120 G
0179 300000 10 65 12506  0 14552 G
0087 108750  4 82  7160  0  3040 G
0120 276538 11 23  5120  0  7881 G
0246 420000 20 18 11745 20 12600 G
0025 950000 62 71 21000  3 39448 G
0015 560000 26 74 11221  0 30000 G
0131 268000 13 56  7818 13  8088 F
0172 290000  9 76  4900  0 11315 E
0095 173200  6 21  5424  6  4461 G
0121 323650 11 24 11834  8  9000 G
0077 162500  5 19  5246  5  3828 G
0060 353500 20 62 11223  2 13680 F
0174 134400  4 70  5834  0  4680 E
0084 187000  8 19  9075  0  7392 G
0031 155700  4 57  5280  0  6030 E
0019  93600  4 82  6864  0  3840 F
0074 110000  4 50  4510  0  3092 G
0057 573200 14 10 11192  0 23704 E
0104  79300  4 82  7425  0  3876 F
0024 272000  5 82  7500  0  9542 E
