00:15       54.2      54.1      53.9        54      53.8
00:30       53.9      53.7      54.1      54.4      55.1
00:45         54      55.2      53.1      55.9      54.5
01:00       52.1      53.4      52.9        53      52.7
01:15         53      51.9      52.6      53.4      51.7
01:30       54.2        55        54      53.8      53.6
01:45       55.2      56.6      53.1      52.9        54
02:00       53.3      57.2      54.5      51.6      54.3
02:15       54.9      56.3      55.2      56.1        54
02:30       55.7      53.1      52.9      56.3      55.4
02:45       55.2        51      56.3      55.6      54.2
03:00       54.2      54.2      55.8      53.8      52.1
03:15       55.7      57.5      55.4        54      53.1
03:30       53.7      56.9        54      55.1      54.2
03:45       54.1      53.9        54      54.6      54.8
04:00       53.5      56.1      55.1        55        54
