        1         1       8.3
        1         2      10.3
        1         3       8.7
        1         4      13.5
        2         1       9.8
        2         2      12.1
        2         3      10.1
        2         4      15.4
        3         1      12.1
        3         2      14.5
        3         3      12.7
        3         4      17.1
        4         1      13.7
        4         2        16
        4         3      14.2
        4         4      19.2
        5         1      17.4
        5         2      19.7
        5         3        18
        5         4      23.1
        6         1      18.2
        6         2      20.5
        6         3      18.6
        6         4        24
        7         1        20
        7         2      22.2
        7         3      20.5
        7         4      25.1
        8         1      22.3
        8         2      25.1
        8         3      22.9
        8         4      27.7
        9         1      24.7
        9         2      26.9
        9         3      25.1
        9         4      29.8
       10         1      25.8
       10         2      28.7
       10         3        26
       10         4      32.2
