         1    1     91.4          
         2    1     94.9       
         3    1     97.0       
         4    1     93.7       
         5    1     96.0       
         6    1     96.7       
         7    1     95.2       
         8    1     96.0       
         9    1     95.6       
        10    1     95.6       
         1    2     93.5    
         2    2     96.6    
         3    2     95.8    
         4    2     96.2    
         5    2     96.6         
         6    2     95.5         
         7    2     94.6         
         8    2     97.2         
         9    2     94.8         
        10    2     92.6       
         1    3     96.6
         2    3     90.5
         3    3     95.4
         4    3     96.7
         5    3     93.5
         6    3     94.8
         7    3     95.7
         8    3     96.2
         9    3     96.0
        10    3     96.6
