P             34
P             35
P             23
P             44
P             52
P             46
P             28
P             48
P             28
P             34
P             33
P             52
P             41
P             32
P             34
P             49
P             50
P             45
P             29
P             59
N             28
N             22
N             44
N             33
N             55
N             63
N             45
N             31
N             60
N             54
N             53
N             58
N             52
N             52
N             66
N             35
N             25
N             48
N             59
N             61
