Anguilla Temephos     4.6
Antigua  Temephos     9.2
Dominica Temephos     7.8
Guyana   Temephos     1.7
Jamaica  Temephos     3.4
StLucia  Temephos     6.7
Suriname Temephos     1.4
Anguilla Malathio     1.2
Antigua  Malathio     2.9
Dominica Malathio     1.4
Guyana   Malathio     1.9
Jamaica  Malathio     3.7
StLucia  Malathio     2.7
Suriname Malathio     1.9
Anguilla Fenitrot     1.5
Antigua  Fenitrot     2.0
Dominica Fenitrot     2.4
Guyana   Fenitrot     2.2
Jamaica  Fenitrot     2.0
StLucia  Fenitrot     2.7
Suriname Fenitrot     2.0
Anguilla Fenthion     1.8
Antigua  Fenthion     7.0
Dominica Fenthion     4.2
Guyana   Fenthion     1.5
Jamaica  Fenthion     1.5
StLucia  Fenthion     4.8
Suriname Fenthion     2.1
Anguilla Chlorpyr     1.5
Antigua  Chlorpyr     2.0
Dominica Chlorpyr     4.1
Guyana   Chlorpyr     1.8
Jamaica  Chlorpyr     7.1
StLucia  Chlorpyr     8.7
Suriname Chlorpyr     1.7
