        6      49.6      48.7      50.7
        7      50.2      49.1      51.2
        8      50.6      49.6      51.4
        9      50.8      50.2      51.8
       10      49.9      49.2      52.3
       11      50.3      48.6      51.7
       12      48.6      46.2      50.4
        1        49      46.4        50
        2        49        46      50.6
        3      49.8      48.2      50.8
        4      50.3      49.2      52.7
        5      51.4        50      55.3
        6      51.6      49.2      54.7
        7      51.8        50      55.6
        8        51      48.6      53.2
        9      50.5      49.4      52.4
       10      49.2      46.1      50.7
       11        49      46.3      50.8
       12      48.4      45.4      50.2
        1      47.6      44.3      49.7
        2      47.4      44.1      49.6
        3      48.2      45.2        49
        4        48      45.5      49.1
        5      48.4      47.1      49.6
        6      48.6      47.4        52
        7        50      49.2      52.2
        8      49.8        49      52.4
        9      50.3      49.4      51.7
       10      50.2      49.6      51.8
       11        50        49      52.3
       12        50      48.8      52.4
        1      50.1      49.4      53.6
        2      49.7      48.6        51
        3      48.4      47.2      51.7
        4      47.2      45.3      50.9
        5      46.8      44.1        49
        6      46.8        41      51.2
        7        50      46.2      51.7
        8      47.4        44      48.7
        9        47      44.2      48.9
       10      47.2      46.6      50.2
       11      48.6        47        50
       12      49.8      48.2      50.4
        1      49.6      48.4      51.7
        2        50        49      52.2
        3        50      49.2        50
        4      47.2      46.3      50.5
        5        47      44.1      49.7
        6      48.4        45        49
        7      48.8      44.8      49.7
        8      49.6        48      51.8
        9        50      48.1      52.7
       10        51      48.1      55.2
       11      50.4      49.5      54.1
       12        50      48.7      50.9
        1      48.9      47.6      51.2
        2      49.8      48.4        51
        3      49.8      48.8      50.8
        4        50      49.1      50.6
        5      47.8      45.2      51.2
        6      46.4        44      49.7
        7      46.4      44.4        50
        8      47.2      46.6      48.9
        9      48.4      47.2      49.5
       10      49.2      48.1      50.7
       11      48.4        47      50.8
       12      47.2      46.4      49.2
        1      47.4      46.8        49
        2      48.8      47.2      51.4
        3      49.6        49      50.6
        4        51      50.5      51.5
        5      50.5        50      51.9
