    1999       1  1286.4
    1999       2  1372.7
    1999       3  1282.7
    1999       4  1469.2
    2000       1  1498.6
    2000       2  1454.6
    2000       3  1436.5
    2000       4  1320.3
    2001       1  1160.3
    2001       2  1224.4
    2001       3  1040.9
    2001       4  1148.1
    2002       1  1147.4
    2002       2   989.9
    2002       3   815.3
    2002       4   879.8
    2003       1   848.2
    2003       2   974.5
    2003       3   996.0
    2003       4  1111.9
    2004       1  1126.2
    2004       2  1140.8
    2004       3  1114.6
    2004       4  1211.9
    2005       1  1180.6
    2005       2  1191.3
    2005       3  1228.8
    2005       4  1248.3
    2006       1  1294.9
    2006       2  1270.2
    2006       3  1335.8
