       1       Plants         -6                 0          28.5        
       2       Plants         -5                 2.5        27.5        
       3       Plants         -4.5               5          27.5        
       4       Plants          0                 0          32.5        
       5       Plants          2                 0          32          
       6       Plants          3.5               1          30          
       7       Plants         -2                 2.5        34          
       8       Plants         -2.5              10          36.5        
       9       Plants         -3.5              20          28.5        
      10       Plants         -2.5              12.5        29          
      11       Plants         -3                28          28          
      12       Plants         -8.5              30          28          
      13       Plants         -3.5              18          30          
      14       Plants         -3                15          31          
      15       Plants         -2.5              17.5        30          
      16       Plants          -.5              18          22          
      17       Plants          0                23          22.5        
      18       Plants          1                20          24          
      19       Plants          2                15          23          
      20       Plants          6                31          21          
      21       Plants          2                15          24          
      22       Plants          2                21          23          
      23       Plants          2.5              30          22.5        
      24       Plants          2.5              33          23          
      25       Plants          0                27.5        30.5        
      26       Plants           .5              29          31          
      27       Plants         -1                32.5        30          
      28       Plants         -3                42          24          
      29       Plants         -2.5              39          25          
      30       Plants         -2                35.5        25          
      31       Plants           .5              39          20          
      32       Plants          5.5              39          18.5        
      33       Plants          7.5              50          15          
      34       Chow            0                62.5         8          
      35       Chow            0                63           8          
      36       Chow            2                69           7          
      37       Chow            8                42.5         7.5        
      38       Chow            9                59           8.5        
      39       Chow           12                52.5         8          
      40       Chow            8.5              75           6          
      41       Chow           10.5              72.5         6.5        
      42       Chow           14                69           7          
