   1       .64        40         1        4        .25         2        .25        .5
   2       .80        80         1        4        .25         4        .25       2
   3      3.20        40         4        4        .25         4        .75        .5
   4       .48        80         4        4        .25         2        .75       2
   5      1.72        40         1       23        .25         4        .75       2
   6       .32        80         1       23        .25         2        .75        .5
   7       .64        40         4       23        .25         2        .25       2
   8       .68        80         4       23        .25         4        .25        .5
   9       .12        40         1        4      24            2        .75       2
  10       .88        80         1        4      24            4        .75        .5
  11      2.32        40         4        4      24            4        .25       2
  12       .40        80         4        4      24            2        .25        .5
  13      1.04        40         1       23      24            4        .25        .5
  14       .12        80         1       23      24            2        .25       2
  15      1.28        40         4       23      24            2        .75        .5
  16       .72        80         4       23      24            4        .75       2
  17      1.08         0         0        0       0            0       0          0
  18      1.08         0         0        0       0            0       0          0
  19      1.04         0         0        0       0            0       0          0
