        1         7        10         6         6        10
        2         7        12         8         8         6
        3         7         8         7        11         6
        4         8         8        12        11        12
        5         3         8         4         7         7
        6         6        10        11         5         7
        7         5        12        11         8         7
        8         7        12         8         7         6
        9         8        10        12        10         5
       10        12         8         6         6         8
       11        10         9         9         5         4
       12         3        10         7         6         8
       13         9         9         8         7         2
       14         7        10        18        20         8
       15         8        18        15        18        21
       16        10        22        16         8         7
       17         3        18         4         8        12
       18        11         7         8        17        19
       19        10         8        19        20        25
       20         6         3        18        18         7
