       4       0 Mini    Geo      Metro       1986       4       4 Y       Y            467     186      52      55     840    1741     556    1074
       4       0 Light   Ford     Aspire      2086       4       4 Y       Y            487     720      53      52    1563    1339    1380    1736
       2       1 Light   Honda    Civic       2313       4       4 Y       Y            375     531      46      45    1153     504    1337    1143
       4       0 Light   Honda    Civic       2337       4       5 Y       Y            480     329      46      45     979     813     536     576
       2       1 Light   Mazda    MX-5(C)     2312       4       3 Y       Y            710     672      54      58    1463     920    1501    1814
       4       0 Light   Nissan   Sentra      2454       4       4 Y       Y            583     599      51      50     490     280     743     796
       2       1 Light   Toyota   Paseo       2474       4       4 Y       Y            632     655      48      53     538     874    1068     868
       4       0 Light   Toyota   Tercel      2176       3       4 Y       Y            907     561      51      53     971     855    1261     932
       2       1 Compact Buick    Skylark     2935       4       5 Y       Y            626     372      45      42     816     523    1151    1057
       2       1 Compact Chrysler Sebring     2952       5       5 Y       Y            408     277      42      35    1157     906    1534     909
       2       1 Compact Dodge    Avenger     2952       5       5 Y       Y            408     277      42      35    1157     906    1534     909
       4       0 Compact Dodge    Neon        2547       4       4 Y       Y            610     531      54      54    1345    1542    1369    1193
       2       1 Compact Eagle    Talon       2853       4       4 Y       Y            552     503      54      47    1384     910    1438    1287
       2       1 Compact Ford     Probe       2773       5       4 Y       Y            238     538      34      45    1586     987     962    1527
       4       0 Compact Geo      Prizm       2553       4       4 Y       Y            384     433      54      49    1246    1414     574     975
       4       0 Compact Honda    Accord      2901       4       3 Y       Y            618     935      53      52    1286     676     589     627
       4       0 Compact Hyundai  Elantra     2706       3       3 Y       Y            528     773      58      62    1080    1246    1555    1647
       4       0 Compact Hyundai  Sonata      2761       3       4 Y       Y            793     511      57      57     818    1517    1127     543
       4       0 Compact Infiniti 130         2970       4       3 Y       Y            747     783      50      57     425     772     853     291
       4       0 Compact Mazda    626DX       2762       4       5 Y       Y            485     300      54      44    1206    1504    1231    1430
       2       1 Compact Mazda    MX6         2773       5       4 Y       Y            238     538      34      45    1586     987     962    1527
       2       1 Compact Mitsubis Eclipse     2853       4       4 Y       Y            552     503      54      47    1384     910    1438    1287
       4       0 Compact Mitsubis Galant      2860       4       4 Y       Y            526     487      54      50     909    1557     908     915
       2       1 Compact Nissan   240SX       2765       3       4 Y       Y            900     404      57      52     197     661     446     456
       4       0 Compact Nissan   Altima      2941       4       4 Y       Y            710     777      51      52     728     478     982     468
       4       0 Compact Nissan   Maxima      2970       4       3 Y       Y            747     783      50      57     425     772     853     291
       2       1 Compact Oldsmobi Achieva     2935       4       5 Y       Y            626     372      45      42     816     523    1151    1057
       4       0 Compact Plymouth Neon        2547       4       4 Y       Y            610     531      54      54    1345    1542    1369    1193
       2       1 Compact Pontiac  GrandAm     2935       4       5 Y       Y            372     672      45      42     816     523    1151    1057
       4       0 Compact Subaru   Impreza     2769       4       4 Y       Y            491     515      51      54     668     411     837     569
       4       0 Compact Subaru   Legacy      2654       4       4 Y       Y            482     532      46      51     194    1010     300     446
       4       0 Compact Toyota   Corolla     2553       4       4 Y       Y            384     433      54      49    1246    1414     574     975
       4       0 Compact Volkswag JettaIII    2725       3       3 Y       Y            725     637      55      57    1329    1400    1037    1391
       4       0 Medium  Acura    TL          3285       4       4 Y       Y            740     628      48      49    1327    1238     518     587
       4       0 Medium  Audi     A4          3096       4       5 Y       Y            665     432      45      42    1166    1017    1209    1136
       4       0 Medium  Audi     A6          3373       5       5 Y       Y            406     339      45      45    1118    1410     649     876
       4       0 Medium  BMW      328i        3234       4       4 Y       Y            820     506      48      53    1500    1356    1023    1050
       2       1 Medium  Chevrole Camaro      3408       5       5 Y       Y            308     403      40      42     827     466     694     516
       4       0 Medium  Chevrole Lumina      3344       5       4 Y       Y            394     560      42      46    1054     694     810     502
       2       1 Medium  Chevrole MonteCar    3284       4       4 Y       Y            684     783      48      46     799    1121     776     488
       2       1 Medium  Chrysler Sebring(    3338       4       4 Y       Y            654     698      50      54     966    1537    1311     780
       4       0 Medium  Chrysler Concorde    3254       4       4 Y       Y            770     622      46      52     538     773    1177    1052
       4       0 Medium  Dodge    Intrepid    3254       4       4 Y       Y            770     622      46      52     538     773    1177    1052
       4       0 Medium  Eagle    Vision      3254       4       4 Y       Y            770     622      46      52     538     773    1177    1052
       4       0 Medium  Ford     Contour     3020       5       4 Y       Y            471     357      43      58     717    1103    1459    1028
