        1     24.02     23.91     24.12     24.06     24.13
        2     23.89     23.98     24.01        24     23.91
        3     24.11     24.02     23.99     23.79     24.04
        4     24.06     23.98     23.95     24.01     24.11
        5     23.81      23.9     23.99     24.07     23.96
        6     23.87     24.12     24.07     24.01     23.99
        7     23.88        24     24.05     23.97     23.97
        8     24.01     24.03     23.99     23.91     23.98
        9     24.06     24.02      23.8     23.79     24.07
       10     23.96     23.99     24.03     23.99     24.01
       11      24.1      23.9     24.11     23.98     23.95
       12     24.01     24.07     23.93     24.09     23.98
       13     24.14     24.07     24.08     23.98     24.02
       14     23.91     24.04     23.89     24.01     23.95
       15     24.03     24.04     24.01     23.98      24.1
       16     23.94     24.07     24.12        24     24.02
       17     23.88     23.94     23.91     24.06     24.07
       18     24.11     23.99      23.9     24.01     23.98
       19     24.05     24.04     23.97     24.08     23.95
       20     24.02     23.96     23.95     23.89     24.04
