         1        8       5
         2        8       4
         3        6       7
         4        6       3
         5        6       5
         6        6       3
         7        3       8
         8        5      10
         9        4       4
        10        4       4
        11        6       5
        12        6       3
        13       12       5
        14        3       8
        15        3       4
        16        8      12
        17        3       6
        18        6       4
        19        9       5
