        1      20.1        19      20.9      22.2      18.9      18.1      21.3     20.07       4.1
        2        19      17.9      21.2      20.4        20      22.3      21.5     20.33       4.4
        3      22.6      21.4      21.4      22.1      19.2      20.6      18.7     20.86       3.9
        4      18.1      20.8      17.8      19.6      19.8      21.7        20     19.69       3.9
        5      22.6      19.1      21.4      21.8      18.4        18      19.5     20.11       4.6
        6      19.1        19      22.3      21.5      17.8      19.2      19.4     19.76       4.5
        7      17.1      19.4      18.6      20.9      21.8        21      19.8      19.8       4.7
        8      20.2      22.4        22      19.6      19.6        20      18.5     20.33       3.9
        9      21.9      24.1      23.1      22.8      25.6      24.2      25.2     23.84       3.7
       10      25.1      24.3        26      23.1      25.8        27      26.5      25.4       3.9
       11      25.8      29.2      28.5      29.1      27.8        29        28      28.2       3.4
       12      28.2      27.5      29.3      30.7      27.6        28        27     28.33       3.7
       13      28.2      28.6      28.1        26        30      28.5      28.3     28.24         4
       14      22.1      21.4      23.3      20.5      19.8      20.5        19     20.94       4.3
       15      18.5      19.2        18      20.1        22      20.2      19.5     19.64         4
       16      21.4      20.3        22      19.2        18      17.9      19.5     19.76       4.1
       17      18.4      16.5      18.1      19.2      17.5      20.9      19.6      18.6       4.4
       18      20.1      19.8      22.3      22.5      21.8      22.7        23     21.74       3.2
       19        20      17.5        21      18.2      19.5      17.2      18.1     18.79       3.8
       20      22.3      18.2      21.5        19      19.4      20.5        20     20.13       4.1
