        1       500       500     502.5       500       500       2.5
        2       500       500       500       500       500         0
        3       500       500       500       500       500         0
        4     497.5       500     497.5     497.5       500       2.5
        5       500       500       500       500       500         0
        6     502.5       500     497.5       500       500         5
        7       500       500     502.5     502.5       500       2.5
        8     497.5       500       500     497.5       500       2.5
        9       500       500     497.5       500     502.5         5
       10       500       500       500       500       500         0
       11       500       505     502.5       500       500         5
       12       500       500       500       500       500         0
       13       500       500     497.5       500       500       2.5
       14       500       500       500       500       500         0
       15     502.5     502.5     502.5       500     502.5       2.5
       16       500       500       500       500       500         0
       17     497.5     497.5     497.5     497.5     497.5         0
       18       500       500       500       500       500         0
       19       495     497.5       500       500       500         5
       20       500     502.5       500       500     502.5       2.5
       21       500       500       500       500       500         0
       22       500       500       500       500       500         0
       23       500       500       500       500       500         0
       24     497.5     497.5       500     497.5     497.5       2.5
       25       500       500     497.5       500       500       2.5
