  218200 NE         55156
  235900 NE         61025
  192888 NE         48991
  200990 NE         55156
  345300 NE         60324
  178999 NE         51446
  240855 NW         61025
  183200 NW         94166
  165225 NW         92063
  160633 NW         89485
  173900 NW         91772
  241000 NW         99025
  188950 NW         94166
  192880 NW         95688
  193000 S         155666
  211980 S         160000
  179500 S         153540
  185650 S         148668
  250900 S         163210
  190990 S         141822
  242790 S         163611
  258900 W         109083
  202420 W         101111
  365900 W         116983
  219900 W         108773
  228250 W         105106
  235300 W         107839
  269800 W         109026
