        1     500.5     499.5       502       501     500.5       2.5
        2     500.5     499.5       500       499       500       1.5
        3     498.5       499       500     499.5       500       1.5
        4     500.5     499.5       499       499     500.5       1.5
        5       500       501     500.5     500.5       500         1
        6       501     498.5       500     501.5     500.5         3
        7     499.5       500       499       501     499.5         2
        8     498.5       498       500     500.5     500.5       2.5
        9       498       499       502       501     501.5         4
       10       499     499.5     499.5       500     499.5         1
       11     502.5     499.5       501     501.5       502         3
       12     501.5     501.5       500       500       501       1.5
       13     498.5     499.5       501     500.5     498.5       2.5
       14     499.5       498       500     499.5     498.5         2
       15       501       500       498     500.5       500         3
       16     502.5     501.5       502     500.5     500.5         2
       17     499.5     500.5       500     499.5     499.5         1
       18       499     498.5       498       500       498         2
       19       499       498     500.5       501       501         3
       20     501.5     499.5       500     500.5       502         2
       21       501     500.5       502     502.5     502.5         2
       22     501.5     502.5     502.5     501.5       502         1
       23     499.5       502       500     500.5       502       2.5
       24     498.5       499       499     500.5       500         2
       25       500     499.5     498.5       500     500.5         2
