      1                   0                        0         
      2                   5.1                      0         
      3                   6.6                      0         
      4                   1.1                       .8       
      5                   1.8                      1.0       
      6                   3.9                      1.0       
      7                  11.5                      1.9       
      8                  22.1                      7.7       
      9                  39.3                     14.9       
     10                  39.9                     13.9       
     11                  43.0                     11.8       
