       1      34
       1      18
       1      28
       1      21
       1      32
       1      40
       1      22
       1      23
       1      22
       1      29
       1      25
       1      10
       1      38
       2      31
       2      13
       2      27
       2      19
       2      22
       2      18
       2      23
       2      22
       2      21
       2      13
       2      18
       2      15
       2      24
       2      13
       2      19
       2      18
       2      19
       2      23
