          1            68900          5960         44967         1873
          2            48500          9000         27860          928
          3            55500          9500         31439         1126
          4            62000         10000         39592         1265
          5           116500         18000         72827         2214
          6            45000          8500         27317          912
          7            38000          8000         29856          899
          8            83000         23000         47752         1803
          9            59000          8100         39117         1204
         10            47500          9000         29349         1725
         11            40500          7300         40166         1080
         12            40000          8000         31679         1529
         13            97000         20000         58510         2455
         14            45500          8000         23454         1151
         15            40900          8000         20897         1173
         16            80000         10500         56248         1960
         17            56000          4000         20859         1344
         18            37000          4500         22610          988
         19            50000          3400         35948         1076
         20            22400          1500          5779          962
