     2.36 N     
     5.73 N     
      6.6 N     
    10.05 Y     
     5.13 N     
     1.88 N     
     2.52 N     
        2 N     
     4.69 N     
     1.91 N     
     6.75 Y     
     3.92 N     
     3.46 N     
     2.64 N     
     3.63 N     
     3.44 N     
     9.49 Y     
      4.9 N     
     7.45 N     
    20.23 Y     
     3.91 N     
      1.7 N     
    16.29 Y     
     5.52 N     
     1.44 N     
     3.34 N     
        6 N     
     5.92 N     
     7.28 Y     
     1.25 N     
     4.01 N     
     7.59 N     
    13.42 Y     
     3.24 N     
     3.37 N     
    14.06 Y     
      5.1 N     
     6.44 N     
     7.76 N     
      4.4 N     
     5.48 N     
     7.51 N     
     6.18 N     
     8.22 Y     
     4.37 N     
     2.93 N     
     9.95 Y     
     4.46 N     
    14.32 Y     
     9.01 N     
