     148 L              0       0
      76 L              0       0
     393 L              0       0
     520 L              0       0
     236 L              0       0
     134 L              0       0
      55 L              0       0
     166 L              0       0
     415 L              0       0
     153 L              0       0
     513 M              1       0
     264 M              1       0
     433 M              1       0
      94 M              1       0
     535 M              1       0
     327 M              1       0
     214 M              1       0
     135 M              1       0
     280 M              1       0
     304 M              1       0
     335 U              0       1
     643 U              0       1
     216 U              0       1
     536 U              0       1
     128 U              0       1
     723 U              0       1
     258 U              0       1
     380 U              0       1
     594 U              0       1
     465 U              0       1
