       1    1995       1    68.8       1       0       0       0
       2    1995       2    65.0       0       1       0       0
       3    1995       3    88.4       0       0       1       0
       4    1995       4    69.0       0       0       0       1
       5    1996       1    83.6       1       0       0       0
       6    1996       2    69.7       0       1       0       0
       7    1996       3    90.2       0       0       1       0
       8    1996       4    72.5       0       0       0       1
       9    1997       1   106.8       1       0       0       0
      10    1997       2    89.2       0       1       0       0
      11    1997       3   110.7       0       0       1       0
      12    1997       4    91.7       0       0       0       1
      13    1998       1   108.6       1       0       0       0
      14    1998       2    98.9       0       1       0       0
      15    1998       3   120.1       0       0       1       0
      16    1998       4   102.1       0       0       0       1
      17    1999       1   113.1       1       0       0       0
      18    1999       2    94.2       0       1       0       0
      19    1999       3   120.5       0       0       1       0
      20    1999       4   107.4       0       0       0       1
      21    2000       1   116.2       1       0       0       0
      22    2000       2   104.4       0       1       0       0
      23    2000       3   131.7       0       0       1       0
      24    2000       4   117.9       0       0       0       1
      25    2001       1   130.6       1       0       0       0
      26    2001       2   116.8       0       1       0       0
      27    2001       3   144.2       0       0       1       0
      28    2001       4   123.3       0       0       0       1
      29    2002       1   142.3       1       0       0       0
      30    2002       2   124.0       0       1       0       0
      31    2002       3   146.1       0       0       1       0
      32    2002       4   135.5       0       0       0       1
      33    2003       1   147.1       1       0       0       0
      34    2003       2   119.3       0       1       0       0
      35    2003       3   138.2       0       0       1       0
      36    2003       4   127.6       0       0       0       1
      37    2004       1   143.4       1       0       0       0
      38    2004       2   134.0       0       1       0       0
      39    2004       3   159.6       0       0       1       0
      40    2004       4   135.1       0       0       0       1
      41    2005       1   149.5       1       0       0       0
      42    2005       2   123.3       0       1       0       0
      43    2005       3   154.4       0       0       1       0
      44    2005       4   139.4       0       0       0       1
      45    2006       1   151.6       1       0       0       0
      46    2006       2   133.7       0       1       0       0
      47    2006       3   154.5       0       0       1       0
      48    2006       4   135.1       0       0       0       1
