   18200 USA     
   16200 USA     
   17200 USA     
   18700 USA     
   18400 USA     
   16600 USA     
   14900 USA     
   16800 USA     
   12100 USA     
   10800 USA     
   18500 USA     
   15500 USA     
   16200 USA     
   16300 USA     
   18200 USA     
   19500 USA     
   13200 USA     
   16800 USA     
   12900 USA     
   17200 USA     
   18200 USA     
   16300 USA     
   16800 USA     
   16400 USA     
   18600 USA     
   15600 USA     
   17100 USA     
   18100 USA     
   18900 USA     
   19000 USA     
   17300 USA     
   18800 USA     
   14900 USA     
   16700 USA     
   20300 USA     
   17100 USA     
   14600 USA     
   17200 USA     
   13000 USA     
   18400 USA     
   16900 USA     
   13300 USA     
   16300 USA     
   15900 USA     
   16600 USA     
   17600 USA     
   16000 USA     
   17100 USA     
   14600 USA     
   18000 USA     
   18500 JAPAN   
   14000 JAPAN   
   18200 JAPAN   
   21100 JAPAN   
   13900 JAPAN   
   18700 JAPAN   
   14900 JAPAN   
   16400 JAPAN   
   16300 JAPAN   
   18000 JAPAN   
   16800 JAPAN   
   19800 JAPAN   
   17300 JAPAN   
   16600 JAPAN   
   14900 JAPAN   
   16300 JAPAN   
   16500 JAPAN   
   15400 JAPAN   
   17600 JAPAN   
   20100 JAPAN   
   16400 JAPAN   
   18000 JAPAN   
   17500 JAPAN   
   18400 JAPAN   
   19800 JAPAN   
   14800 JAPAN   
   18200 JAPAN   
   16700 JAPAN   
   20200 JAPAN   
   16200 JAPAN   
   20400 JAPAN   
   17900 JAPAN   
   15500 JAPAN   
   15400 JAPAN   
   17700 JAPAN   
   17100 JAPAN   
   17900 JAPAN   
   17400 JAPAN   
   18200 JAPAN   
   16200 JAPAN   
   18500 JAPAN   
   16900 JAPAN   
   17600 JAPAN   
   14400 JAPAN   
   21600 JAPAN   
   18600 JAPAN   
   16200 JAPAN   
   14300 JAPAN   
   12500 JAPAN   
   20000 JAPAN   
