       1 10.0008
       2 10.0062
       3  9.9948
       4  9.9893
       5  9.9994
       6  9.9953
       7  9.9963
       8  9.9925
       9  9.9914
      10 10.0035
      11  9.9957
      12 10.0076
      13 10.0036
      14 10.0037
      15 10.0029
      16  9.9995
      17  9.9956
      18 10.0005
      19 10.0020
      20 10.0053
      21  9.9977
      22  9.9968
      23  9.9982
      24 10.0092
      25  9.9964
      26 10.0053
      27 10.0012
      28  9.9988
      29  9.9914
      30 10.0036
      31 10.0107
      32 10.0102
      33  9.9995
      34 10.0038
      35  9.9925
      36  9.9983
      37 10.0018
      38 10.0038
      39  9.9974
      40  9.9966
      41 10.0054
      42 10.0061
      43  9.9978
      44  9.9969
      45  9.9969
      46 10.0006
      47 10.0011
      48  9.9973
      49  9.9958
      50  9.9873
