Tue            5       9      84       1
Tue            5       9      91       1
Tue            5       9      86       1
Wed            5      10      92       2
Wed            5      10      93       2
Wed            5      10      94       2
Thu            5      11      94       3
Thu            5      11      96       3
Thu            5      11      92       3
Fri            5      12      96       4
Fri            5      12      91       4
Fri            5      12      96       4
Mon            5      15      90       5
Mon            5      15      92       5
Mon            5      15      91       5
Tue            5      16      92       6
Tue            5      16      86       6
Tue            5      16      96       6
Wed            5      17      93       7
Wed            5      17      95       7
Wed            5      17      90       7
Thu            5      18      94       8
Thu            5      18      95       8
Thu            5      18      95       8
Fri            5      19      91       9
Fri            5      19      86       9
Fri            5      19      90       9
Mon            5      22      93      10
Mon            5      22      84      10
Mon            5      22      84      10
Tue            5      23      86      11
Tue            5      23      88      11
Tue            5      23      86      11
Wed            5      24      92      12
Wed            5      24      92      12
Wed            5      24      83      12
Thu            5      25      82      13
Thu            5      25      84      13
Thu            5      25      92      13
Fri            5      26      88      14
Fri            5      26      94      14
Fri            5      26      90      14
Tue            5      30      92      15
Tue            5      30      83      15
Tue            5      30      91      15
Wed            5      31      90      16
Wed            5      31      92      16
Wed            5      31      87      16
Thu            6       1      87      17
Thu            6       1      87      17
Thu            6       1      89      17
Fri            6       2      85      18
Fri            6       2      86      18
Fri            6       2      85      18
Mon            6       5      86      19
Mon            6       5      83      19
Mon            6       5      84      19
Tue            6       6      86      20
Tue            6       6      82      20
Tue            6       6      86      20
Wed            6       7      81      21
Wed            6       7      88      21
Wed            6       7      79      21
Thu            6       8      85      22
Thu            6       8      79      22
Thu            6       8      83      22
Fri            6       9      81      23
Fri            6       9      81      23
Fri            6       9      81      23
Mon            6      12      85      24
Mon            6      12      80      24
Mon            6      12      87      24
Tue            6      13      78      25
Tue            6      13      81      25
Tue            6      13      77      25
Wed            6      14      84      26
Wed            6      14      84      26
Wed            6      14      86      26
Thu            6      15      82      27
Thu            6      15      75      27
Thu            6      15      73      27
Fri            6      16      77      28
Fri            6      16      72      28
Fri            6      16      88      28
Mon            6      19      82      29
Mon            6      19      86      29
Mon            6      19      79      29
Tue            6      20      88      30
Tue            6      20      85      30
Tue            6      20      80      30
Wed            6      21      87      31
Wed            6      21      84      31
Wed            6      21      82      31
Thu            6      22      86      32
Thu            6      22      83      32
Thu            6      22      83      32
Fri            6      23      68      33
Fri            6      23      74      33
Fri            6      23      79      33
Mon            6      26      86      34
Mon            6      26      85      34
Mon            6      26      79      34
Tue            6      27      86      35
Tue            6      27      84      35
Tue            6      27      85      35
Wed            6      28      85      36
Wed            6      28      84      36
Wed            6      28      84      36
Thu            6      29      85      37
Thu            6      29      88      37
Thu            6      29      88      37
Fri            6      30      79      38
Fri            6      30      82      38
Fri            6      30      84      38
Mon            7       3      86      39
Mon            7       3      90      39
Mon            7       3      86      39
Wed            7       5      90      40
Wed            7       5      88      40
Wed            7       5      90      40
Thu            7       6      92      41
Thu            7       6      90      41
Thu            7       6      85      41
Fri            7       7      86      42
Fri            7       7      80      42
Fri            7       7      84      42
Mon            7      10      86      43
Mon            7      10      85      43
Mon            7      10      89      43
Tue            7      11      89      44
Tue            7      11      88      44
Tue            7      11      90      44
Wed            7      12      87      45
Wed            7      12      92      45
Wed            7      12      91      45
Thu            7      13      83      46
Thu            7      13      92      46
Thu            7      13      86      46
Fri            7      14      86      47
Fri            7      14      81      47
Fri            7      14      79      47
Mon            7      17      92      48
Mon            7      17      92      48
Mon            7      17      96      48
Tue            7      18      91      49
Tue            7      18      87      49
Tue            7      18      88      49
Wed            7      19      87      50
Wed            7      19      92      50
Wed            7      19      89      50
Thu            7      20      85      51
Thu            7      20      91      51
Thu            7      20      91      51
Fri            7      21      90      52
Fri            7      21      95      52
Fri            7      21      97      52
Mon            7      24      90      53
Mon            7      24      89      53
Mon            7      24      86      53
Tue            7      25      84      54
Tue            7      25      89      54
Tue            7      25      87      54
Wed            7      26      91      55
Wed            7      26      86      55
Wed            7      26      89      55
Thu            7      27      93      56
Thu            7      27      86      56
Thu            7      27      91      56
Fri            7      28      82      57
Fri            7      28      85      57
Fri            7      28      91      57
Mon            7      31      93      58
Mon            7      31      95      58
Mon            7      31      97      58
Tue            8       1      95      59
Tue            8       1      92      59
Tue            8       1      91      59
Wed            8       2      88      60
Wed            8       2      89      60
Wed            8       2      91      60
Thu            8       3      94      61
Thu            8       3      88      61
Thu            8       3      94      61
Fri            8       4      90      62
Fri            8       4      89      62
Fri            8       4      91      62
Mon            8       7      89      63
Mon            8       7      88      63
Mon            8       7      89      63
Tue            8       8      95      64
Tue            8       8      95      64
Tue            8       8      92      64
Wed            8       9      91      65
Wed            8       9      88      65
Wed            8       9      89      65
Thu            8      10      89      66
Thu            8      10      86      66
Thu            8      10      83      66
Fri            8      11      84      67
Fri            8      11      86      67
Fri            8      11      89      67
Mon            8      14      89      68
Mon            8      14      90      68
Mon            8      14      88      68
Tue            8      15      91      69
Tue            8      15      87      69
Tue            8      15      90      69
Wed            8      16      87      70
Wed            8      16      89      70
Wed            8      16      91      70
Thu            8      17      84      71
Thu            8      17      88      71
Thu            8      17      83      71
Fri            8      18      84      72
Fri            8      18      83      72
Fri            8      18      85      72
Mon            8      21      87      73
Mon            8      21      82      73
Mon            8      21      80      73
Tue            8      22      83      74
Tue            8      22      85      74
Tue            8      22      85      74
Wed            8      23      85      75
Wed            8      23      83      75
Wed            8      23      83      75
Thu            8      24      87      76
Thu            8      24      85      76
Thu            8      24      89      76
Mon            9      11      89      77
Mon            9      11      86      77
Mon            9      11      89      77
Tue            9      12      90      78
Tue            9      12      87      78
Tue            9      12      88      78
Wed            9      13      90      79
Wed            9      13      90      79
Wed            9      13      84      79
Thu            9      14      89      80
Thu            9      14      84      80
Thu            9      14      86      80
Fri            9      15      86      81
Fri            9      15      84      81
Fri            9      15      88      81
Mon            9      18      83      82
Mon            9      18      86      82
Mon            9      18      87      82
Wed            9      20      87      83
Wed            9      20      75      83
Wed            9      20      85      83
Thu            9      21      88      84
Thu            9      21      88      84
Thu            9      21      78      84
Fri            9      22      85      85
Fri            9      22      85      85
Fri            9      22      86      85
Mon            9      25      87      86
Mon            9      25      85      86
Mon            9      25      89      86
Tue            9      26      86      87
Tue            9      26      89      87
Tue            9      26      84      87
Wed            9      27      87      88
Wed            9      27      92      88
Wed            9      27      83      88
Thu            9      28      80      89
Thu            9      28      79      89
Thu            9      28      86      89
Fri            9      29      83      90
Fri            9      29      86      90
Fri            9      29      81      90
Mon           10       2      79      91
Mon           10       2      85      91
Mon           10       2      82      91
Tue           10       3      86      92
Tue           10       3      88      92
Tue           10       3      85      92
Wed           10       4      88      93
Wed           10       4      84      93
Wed           10       4      88      93
Thu           10       5      84      94
Thu           10       5      88      94
Thu           10       5      86      94
Fri           10       6      84      95
Fri           10       6      87      95
Fri           10       6      85      95
Tue           10      10      90      96
Tue           10      10      84      96
Tue           10      10      86      96
Wed           10      11      85      97
Wed           10      11      83      97
Wed           10      11      84      97
Thu           10      12      85      98
Thu           10      12      85      98
Thu           10      12      82      98
Fri           10      13      84      99
Fri           10      13      84      99
Fri           10      13      82      99
Mon           10      16      83     100
Mon           10      16      87     100
Mon           10      16      84     100
Tue           10      17      92     101
Tue           10      17      90     101
Tue           10      17      91     101
Wed           10      18      88     102
Wed           10      18      88     102
Wed           10      18      88     102
Thu           10      19      88     103
Thu           10      19      82     103
Thu           10      19      87     103
Fri           10      20      89     104
Fri           10      20      87     104
Fri           10      20      87     104
Mon           10      23      87     105
Mon           10      23      87     105
Mon           10      23      87     105
Tue           10      24      79     106
Tue           10      24      82     106
Tue           10      24      80     106
Wed           10      25      87     107
Wed           10      25      88     107
Wed           10      25      81     107
Thu           10      26      82     108
Thu           10      26      86     108
Thu           10      26      86     108
Fri           10      27      83     109
Fri           10      27      81     109
Fri           10      27      82     109
Mon           10      30      83     110
Mon           10      30      84     110
Mon           10      30      82     110
Tue           10      31      89     111
Tue           10      31      90     111
Tue           10      31      89     111
