50	BELOW
43	BELOW
31	BELOW
41	BELOW
81	ABOVE
11	BELOW
35	BELOW
24	BELOW
20	BELOW
36	BELOW
60	BELOW
31	BELOW
54	BELOW
98	ABOVE
45	BELOW
47	BELOW
67	ABOVE
95	ABOVE
43	BELOW
58	BELOW
32	BELOW
76	ABOVE
49	BELOW
30	BELOW
20	BELOW
36	BELOW
71	ABOVE
74	ABOVE
107	ABOVE
43	BELOW
49	BELOW
73	ABOVE
82	ABOVE
60	BELOW
72	ABOVE
58	BELOW
36	BELOW
43	BELOW
65	ABOVE
49	BELOW
78	ABOVE
63	ABOVE
56	BELOW
82	ABOVE
67	ABOVE
79	ABOVE
45	BELOW
74	ABOVE
65	ABOVE
50	BELOW
23	BELOW
31	BELOW
69	ABOVE
28	BELOW
10	BELOW
56	BELOW
55	BELOW
78	ABOVE
87	ABOVE
55	BELOW
84	ABOVE
74	ABOVE
64	ABOVE
78	ABOVE
17	BELOW
88	ABOVE
65	ABOVE
103	ABOVE
65	ABOVE
42	BELOW
42	BELOW
43	BELOW
36	BELOW
50	BELOW
21	BELOW
106	ABOVE
59	BELOW
101	ABOVE
119	ABOVE
96	ABOVE
51	BELOW
74	ABOVE
46	BELOW
48	BELOW
27	BELOW
53	BELOW
49	BELOW
75	ABOVE
64	ABOVE
134	ABOVE
55	BELOW
46	BELOW
37	BELOW
44	BELOW
52	BELOW
45	BELOW
55	BELOW
36	BELOW
46	BELOW
52	BELOW
81	ABOVE
33	BELOW
47	BELOW
69	ABOVE
67	ABOVE
76	ABOVE
46	BELOW
24	BELOW
36	BELOW
34	BELOW
88	ABOVE
46	BELOW
43	BELOW
66	ABOVE
95	ABOVE
55	BELOW
64	ABOVE
70	ABOVE
44	BELOW
40	BELOW
96	ABOVE
51	BELOW
29	BELOW
15	BELOW
60	BELOW
96	ABOVE
13	BELOW
50	BELOW
35	BELOW
19	BELOW
56	BELOW
69	ABOVE
71	ABOVE
49	BELOW
91	ABOVE
22	BELOW
75	ABOVE
68	ABOVE
70	ABOVE
4	BELOW
45	BELOW
61	ABOVE
23	BELOW
77	ABOVE
53	BELOW
48	BELOW
39	BELOW
62	ABOVE
56	BELOW
74	ABOVE
7	BELOW
7	BELOW
6	BELOW
82	ABOVE
93	ABOVE
35	BELOW
58	BELOW
38	BELOW
38	BELOW
57	BELOW
78	ABOVE
66	ABOVE
88	ABOVE
89	ABOVE
26	BELOW
55	BELOW
14	BELOW
60	BELOW
12	BELOW
46	BELOW
71	ABOVE
40	BELOW
63	ABOVE
75	ABOVE
51	BELOW
33	BELOW
54	BELOW
33	BELOW
68	ABOVE
75	ABOVE
36	BELOW
96	ABOVE
55	BELOW
77	ABOVE
97	ABOVE
74	ABOVE
76	ABOVE
79	ABOVE
94	ABOVE
62	ABOVE
112	ABOVE
72	ABOVE
40	BELOW
23	BELOW
69	ABOVE
24	BELOW
79	ABOVE
83	ABOVE
72	ABOVE
11	BELOW
57	BELOW
71	ABOVE
56	BELOW
93	ABOVE
52	BELOW
61	ABOVE
107	ABOVE
32	BELOW
88	ABOVE
99	ABOVE
117	ABOVE
37	BELOW
103	ABOVE
28	BELOW
47	BELOW
82	ABOVE
35	BELOW
34	BELOW
65	ABOVE
72	ABOVE
61	ABOVE
1	BELOW
82	ABOVE
15	BELOW
32	BELOW
73	ABOVE
71	ABOVE
51	BELOW
52	BELOW
37	BELOW
42	BELOW
5	BELOW
32	BELOW
104	ABOVE
78	ABOVE
58	BELOW
56	BELOW
61	ABOVE
34	BELOW
43	BELOW
61	ABOVE
113	ABOVE
55	BELOW
82	ABOVE
47	BELOW
30	BELOW
81	ABOVE
20	BELOW
67	ABOVE
51	BELOW
